"GenotypicCorrelation.Var1","GenotypicCorrelation.Var2","GenotypicCorrelation.Freq","Note1","Note2"
"LL","1000SW","142.6714 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","1000SW","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","1000SW","123.3116 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","1000SW","204.6872 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","1000SW","113.1798 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","1000SW","72.5405 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","1000SW","93.1292 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","1000SW","110.147 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","1000SW","59.8018 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","1000SW","120.5431 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","1000SW","223.5788 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","1000SW","46.9134 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","1000SW","46.0323 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","1000SW","155.5225 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","1000SW","183.7865 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","1000SW","181.7738 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","1000SW","44.213 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","1000SW","44.105 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","1000SW","69.063 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","1000SW","108.5789 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","1000SW","489.86 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%A","KT","963.0067 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"D50%SE","KT","887.5806 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LL","KT","653.2719 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LW","KT","NaN","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NL","KT","565.7388 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TL","KT","943.4228 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"PLH","KT","515.1995 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EH","KT","326.6 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELoP","KT","428.1624 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"ELwH","KT","504.4098 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"LoP","KT","278.997 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EDwH","KT","554.0778 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NRG","KT","1043.1889 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EWwH","KT","208.3017 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"EW","KT","204.4513 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"NoPN","KT","722.7087 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KL","KT","835.2781 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KW","KT","832.5586 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"SW","KT","198.9636 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"TSWpP","KT","198.4731 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"100SW","KT","312.3044 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"1000SW","KT","489.86 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
"KT","KT","2260.363 **","The sig of genotypic correlation was tested using t test (two-tail). The degree of freedom used is number of genotypes - 2","If NaNs are produced checkout for negative genotypic variance for one or more traits"
